Размер;"Категория товара";Коллекция;"Вес изделия в упаковке";Бренд;"Страна производства";Линейка;Артикул;Размер;"Степень теплоты";"Степень поддержки";"Размер наволочек";"Размер пододеяльника";"Размер простыни";"Тип простыни";Высота;Наполнитель;"Наполнитель чехла";"Наполнитель ядра";"Вес наполнителя";"Вес наполнителя чехла";"Вес наполнителя ядра";Ткань;"Состав ткани";"Тип застежки";"Тип застежки наволочки";"Тип застежки пододеяльника";"Тип крепления";"Тип стежки";Окантовка;Упаковка;"Тип упаковки";"Количество в упаковке";Материал;Плотность;ШтрихКод;Производитель;Цвет;"Ткань верха";"Ткань низ";Состав;Номенклатура;Количество;Цена;Фото;Описание
;Плед;Эльф;;Vladi;Украина;;"Э-170- 02-99";170х210;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000925503776;;;;;"70% овечья шерсть+30% ПЭ";"02-99 Бел/сирень/слива 170х210 Эльф плед новозеланд. шерсть";4;1323;http://alvitek.com.ru/upload/iblock/bf6/bf6012ce4a244b2cd8ddfca07dd339ff.jpeg;"Плед ""VLADI""  ""Эльф"", шерсть - 100%, в сумке  ПВХ ручкой"
;Плед;Эльф;;Vladi;Украина;;"Э-170- 02-08";170х210;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000888601762;;;;;"70% овечья шерсть+30% ПЭ";"02-08 Бел/оранж/тер 170х210 Эльф плед новозеланд. шерсть";15;1323;http://alvitek.com.ru/upload/iblock/8ff/8ff84cf2309111cdf86389fde6d92673.jpeg;"Плед ""VLADI""  ""Эльф"", шерсть - 100%, в сумке  ПВХ ручкой"
;Плед;Эльф;;Vladi;Украина;;"Э-170- 01-07";170х210;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000877291158;;;;;"70% овечья шерсть+30% ПЭ";"01-07 Жел/красн/бордо  170х210 Эльф плед новозеланд. шерсть";15;1323;http://alvitek.com.ru/upload/iblock/89f/89fda93a989b7f8d8f7f540aea43f9a1.jpeg;"Плед ""VLADI""  ""Эльф"", шерсть - 100%, в сумке  ПВХ ручкой"
;Плед;Эльф;;Vladi;Украина;;"Э-170- 03-02";170х210;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000861387379;;;;;"70% овечья шерсть+30% ПЭ";"03-02 Бел/тер/кор. 170х210 Эльф плед новозеланд. шерсть";18;1323;http://alvitek.com.ru/upload/iblock/844/8442bcfb4369a338559e44d9eba7a3bb.jpeg;"Плед ""VLADI""  ""Эльф"", шерсть - 100%, в сумке  ПВХ ручкой"
;Плед;Эльф;;Vladi;Украина;;"Э-170- 02-04";170х210;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000863387414;;;;;"70% овечья шерсть+30% ПЭ";"02-04 Бел/лил/слива 170х210 Эльф плед новозеланд. шерсть";3;1323;http://alvitek.com.ru/upload/iblock/191/1912e91f76c94b10d17341ea2b32c215.jpeg;"Плед ""VLADI""  ""Эльф"", шерсть - 100%, в сумке  ПВХ ручкой"
;Плед;Эльф;;Vladi;Украина;;"Э-170- 02-07";170х210;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000877290014;;;;;"70% овечья шерсть+30% ПЭ";"02-07 Бел/красн/черн 170х210 Эльф плед новозеланд. шерсть";6;1323;http://alvitek.com.ru/upload/iblock/8b7/8b7cb9580c6d63a9ba086eb3a6d570aa.jpeg;"Плед ""VLADI""  ""Эльф"", шерсть - 100%, в сумке  ПВХ ручкой"
;Плед;Эльф;;Vladi;Украина;;"Э-170- 01-01";170х210;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000863387421;;;;;"70% овечья шерсть+30% ПЭ";"01-01 Бел/беж/кор 170х210 Эльф плед новозеланд. шерсть";3;1323;http://alvitek.com.ru/upload/iblock/1ee/1ee819a2867844fbaeb4d47333b2226a.jpeg;"Плед ""VLADI""  ""Эльф"", шерсть - 100%, в сумке  ПВХ ручкой"
;Плед;Эльф;;Vladi;Украина;;"Э-170- 06-01";170х210;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000877291165;;;;;"70% овечья шерсть+30% ПЭ";"06-01 Сер.голуб/т.сер/бел.красн 170х210 Эльф плед новозеланд. шерсть";8;1323;http://alvitek.com.ru/upload/iblock/c59/c59c40e5a507f03ebac45393af3dc53e.jpeg;"Плед ""VLADI""  ""Эльф"", шерсть - 100%, в сумке  ПВХ ручкой"
;Плед;Эльф;;Vladi;Украина;;"Э-170- 01-02";170х210;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000861387331;;;;;"70% овечья шерсть+30% ПЭ";"01-02 Бел/беж/тер  170х210 Эльф плед новозеланд. шерсть";9;1323;http://alvitek.com.ru/upload/iblock/4d9/4d9fa053eb4dcec29e609348a78dd1d9.jpeg;"Плед ""VLADI""  ""Эльф"", шерсть - 100%, в сумке  ПВХ ручкой"
;Плед;Эльф;;Vladi;Украина;;"Э-170- 02-01";170х210;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000861387355;;;;;"70% овечья шерсть+30% ПЭ";"02-01 Бел/беж/кор 170х210 Эльф плед новозеланд. шерсть";7;1323;http://alvitek.com.ru/upload/iblock/bce/bce676ae8ca6b3c2c260ece97b7c1284.jpeg;"Плед ""VLADI""  ""Эльф"", шерсть - 100%, в сумке  ПВХ ручкой"
;Плед;Эльф;;Vladi;Украина;;"Э-170- 05-03";170х210;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000861387409;;;;;"70% овечья шерсть+30% ПЭ";"05-03 Бел/тер/кор 170х210 Эльф плед новозеланд. шерсть";6;1323;http://alvitek.com.ru/upload/iblock/716/71686672a5986b0376e6689ab39da5c8.jpeg;"Плед ""VLADI""  ""Эльф"", шерсть - 100%, в сумке  ПВХ ручкой"
;Плед;Эльф;;Vladi;Украина;;"Э-170- 01-03";170х210;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000877289537;;;;;"70% овечья шерсть+30% ПЭ";"01-03 Бел/салат/зел  170х210 Эльф плед новозеланд. шерсть";8;1323;http://alvitek.com.ru/upload/iblock/556/556cba7f87c1dd34e261e5a9249fe3ac.jpeg;"Плед ""VLADI""  ""Эльф"", шерсть - 100%, в сумке  ПВХ ручкой"
;Плед;Эльф;;Vladi;Украина;;"Э-170- 02-03";170х210;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000877289520;;;;;"70% овечья шерсть+30% ПЭ";"02-03 Бел/салат/зел  170х210 Эльф плед новозеланд. шерсть";14;1323;http://alvitek.com.ru/upload/iblock/de8/de8ce466d951117a7bf4aae5d1305b59.jpeg;"Плед ""VLADI""  ""Эльф"", шерсть - 100%, в сумке  ПВХ ручкой"
;Плед;Эльф;;Vladi;Украина;;"Э-170- 01-08";170х210;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000861387348;;;;;"70% овечья шерсть+30% ПЭ";"01-08 Жел/красн/зел  170х210 Эльф плед новозеланд. шерсть";2;1323;http://alvitek.com.ru/upload/iblock/f8a/f8a0e1691e695bd32c10232c1835fd75.jpeg;"Плед ""VLADI""  ""Эльф"", шерсть - 100%, в сумке  ПВХ ручкой"
;Плед;Эльф;;Vladi;Украина;;"Э-170- 02-02";170х210;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000900108200;;;;;"70% овечья шерсть+30% ПЭ";"02-02 Бел/тер/кор. 170х210 Эльф плед новозеланд. шерсть";24;1323;http://alvitek.com.ru/upload/iblock/61c/61ceeba9bd862be75280cbd70fdc2489.jpeg;"Плед ""VLADI""  ""Эльф"", шерсть - 100%, в сумке  ПВХ ручкой"
;Плед;Эльф;;Vladi;Украина;;"Э-170- 07-02";170х210;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000877289766;;;;;"70% овечья шерсть+30% ПЭ";"07-02 Бел/оранж/кор/тер 170х210 Эльф плед новозеланд. шерсть";2;1323;http://alvitek.com.ru/upload/iblock/5e9/5e9715419251574131aaa953bb15f3c2.jpeg;"Плед ""VLADI""  ""Эльф"", шерсть - 100%, в сумке  ПВХ ручкой"
;Плед;Эльф;;Vladi;Украина;;"Э-170- 05-02";170х210;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000861387393;;;;;"70% овечья шерсть+30% ПЭ";"05-02 Бел/беж/тер  170х210 Эльф плед новозеланд. шерсть";1;1323;http://alvitek.com.ru/upload/iblock/35d/35d1eb0c184a453978d874bec3c4face.jpeg;"Плед ""VLADI""  ""Эльф"", шерсть - 100%, в сумке  ПВХ ручкой"
