Размер;"Категория товара";Коллекция;"Вес изделия в упаковке";Бренд;"Страна производства";Линейка;Артикул;Размер;"Степень теплоты";"Степень поддержки";"Размер наволочек";"Размер пододеяльника";"Размер простыни";"Тип простыни";Высота;Наполнитель;"Наполнитель чехла";"Наполнитель ядра";"Вес наполнителя";"Вес наполнителя чехла";"Вес наполнителя ядра";Ткань;"Состав ткани";"Тип застежки";"Тип застежки наволочки";"Тип застежки пододеяльника";"Тип крепления";"Тип стежки";Окантовка;Упаковка;"Тип упаковки";"Количество в упаковке";Материал;Плотность;ШтрихКод;Производитель;Цвет;"Ткань верха";"Ткань низ";Состав;Номенклатура;Количество;Цена;Фото;Описание
;"Комплект постельного белья";;;CLEO;;;CLEO-SK-2/406;Двуспальное;;;"70х70 (2шт.)";180х210;230х240;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;Коробка;;;;;2000925549538;;;;;;"SK-2/406 КПБ 2 СП Сатин печатный нав-ки ( 70х70х2 шт ) в коробке CLEO";3;2120;http://alvitek.com.ru/upload/iblock/bea/beaeb6d19480bc85cffd1fb87d491ab9.jpeg;
;"Комплект постельного белья";;;CLEO;;;CLEO-SK-31/391;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;Коробка;;;;;2000925549569;;;;;;"SK-31/391 КПБ Евро Сатин печатный ( 70х70х2 шт+50х70х2шт ) в коробке CLEO";1;2578;http://alvitek.com.ru/upload/iblock/298/2986be997512b99f9dc7a37d4bdb4862.jpeg;
;"Комплект постельного белья";;;CLEO;;;CLEO-SK-31/398;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;Коробка;;;;;2000925549576;;;;;;"SK-31/398 КПБ Евро Сатин печатный ( 70х70х2 шт+50х70х2шт ) в коробке CLEO";1;2578;http://alvitek.com.ru/upload/iblock/bfc/bfcffa1a920a0cecfc22f2e0e00343b0.jpeg;
;"Комплект постельного белья";;;CLEO;;;CLEO-SK-31/424;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;Коробка;;;;;2000925549644;;;;;;"SK-31/424 КПБ Евро Сатин печатный ( 70х70х2 шт+50х70х2шт ) в коробке CLEO";1;2578;http://alvitek.com.ru/upload/iblock/439/439e51a4207e35694dbc62b818824fb9.jpeg;
;"Комплект постельного белья";;;CLEO;;;CLEO-SK-31/402;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;Коробка;;;;;2000925549583;;;;;;"SK-31/402 КПБ Евро Сатин печатный ( 70х70х2 шт+50х70х2шт ) в коробке CLEO";3;2578;http://alvitek.com.ru/upload/iblock/a87/a87ca49efd3dde12371211e618729853.jpeg;
;"Комплект постельного белья";;;CLEO;;;CLEO-SK-31/418;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;Коробка;;;;;2000925549613;;;;;;"SK-31/418 КПБ Евро Сатин печатный ( 70х70х2 шт+50х70х2шт ) в коробке CLEO";1;2578;http://alvitek.com.ru/upload/iblock/02d/02df9c5c26f3ee9aa480d4731879f401.jpeg;
;"Комплект постельного белья";;;CLEO;;;CLEO-семья-SK-41/406;"Семейное (2 пододеяльника)";;;"50х70 (2шт.)+70х70 (2шт.)";150х210-2шт.;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;Коробка;;;;;2000925549675;;;;;;"SK-41/406 КПБ Семья Сатин печатный ( 70х70х2 шт+50х70х2шт ) в коробке CLEO";2;3103;http://alvitek.com.ru/upload/iblock/0da/0dad0de4edae4ce7656e4d5375678c44.jpeg;
;"Комплект постельного белья";;;CLEO;;;CLEO-семья-SK-41/415;"Семейное (2 пододеяльника)";;;"50х70 (2шт.)+70х70 (2шт.)";150х210-2шт.;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;Коробка;;;;;2000925549705;;;;;;"SK-41/415 КПБ Семья Сатин печатный ( 70х70х2 шт+50х70х2шт ) в коробке CLEO";2;3103;http://alvitek.com.ru/upload/iblock/f72/f7288768c255b44c3c58dd49a494fcd5.jpeg;
;Одеяло;"Овечья шерсть";;"AlViTek (АльВиТек)";Россия;Традиция;ШБ-О-24;210х240;Легкое;;;;;;;"Овечья шерсть,пэ";;;"200 гр/кв.м";;;Полисатин;"100%  пэ";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048007600;;"Набивной рисунок,может отличаться от цвета на фото";;;;"ШБ-О-24  Одеяло 210х240 легкое";4;891;http://alvitek.com.ru/upload/iblock/9a2/9a20203bd3b50a148e3874b8a24033dc.jpeg;"одеяло с наполнителем из овечьей шерсти 200 г/кв.м, чехол - ткань смесовая, окантовка-косая бейка, бирка, постер, в чемодане"
;Одеяло;Крапива;;"AlViTek (АльВиТек)";Россия;Стандарт;ОМК-Д-О-10;140х105;Легкое;;;;;;;"Волокно крапивы,пэ";;;"200 гр/кв.м";;;Микрофибра;"100%  пэ";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048013328;;Салатовый;;;;"ОМК-Д-О-10 Одеяло ""Крапива-Микрофибра"" 140х105 легкое";5;330;http://alvitek.com.ru/upload/iblock/d75/d758aeca5a14a8de71974b2dad36f063.jpeg;"одеяло с наполнителем из  волокна крапивы 200 г/кв.м, чехол микрофибра (100% пэ) - косая бейка, бирка, постер, в сумке"
;Покрывало;Традиция;;"AlViTek (АльВиТек)";Россия;;ПСТ-08/180-19198/5;180х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;;;;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048013748;;"Набивной рисунок";"Перкаль (100% хлопок)";Полиэстр;;"ПСТ-08/180-19198/5 Покрывало ""Традиция"" 180х210";5;984;http://alvitek.com.ru/upload/iblock/1eb/1eb2373b96eb77da25d281babe37098a.jpeg;
;Покрывало;Традиция;;"AlViTek (АльВиТек)";Россия;;ПСТ-09/180-19738/2;180х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;;;;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048013755;;"Набивной рисунок";"Перкаль (100% хлопок)";Полиэстр;;"ПСТ-09/180-19738/2 Покрывало ""Традиция"" 180х210";3;984;http://alvitek.com.ru/upload/iblock/a66/a66728d717e80afd3c418037069cc987.jpeg;
;Покрывало;Традиция;;"AlViTek (АльВиТек)";Россия;;ПСТ-10/180-19735/1;180х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;;;;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048013762;;"Набивной рисунок";"Перкаль (100% хлопок)";Полиэстр;;"ПСТ-10/180-19735/1 Покрывало ""Традиция"" 180х210";5;984;http://alvitek.com.ru/upload/iblock/1f9/1f914e2c7bb586bb66e47ae564919a4a.jpeg;
;Покрывало;Традиция;;"AlViTek (АльВиТек)";Россия;;ПСТ-11/180-19483/1;180х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;;;;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048013779;;"Набивной рисунок";"Перкаль (100% хлопок)";Полиэстр;;"ПСТ-11/180-19483/1 Покрывало ""Традиция"" 180х210";5;984;http://alvitek.com.ru/upload/iblock/de8/de8a674e0a752c000ae49c72b77feb59.jpeg;
;Покрывало;Традиция;;"AlViTek (АльВиТек)";Россия;;ПСТ-12/180-19494/2;180х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;;;;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048013786;;"Набивной рисунок";"Перкаль (100% хлопок)";Полиэстр;;"ПСТ-12/180-19494/2 Покрывало ""Традиция"" 180х210";10;984;http://alvitek.com.ru/upload/iblock/5ef/5effbe04c924c18f83fd1ac1339d17f6.jpeg;
;Покрывало;Традиция;;"AlViTek (АльВиТек)";Россия;;ПСТ-01/220-19552/1;220х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;;;;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048013793;;"Набивной рисунок";"Перкаль (100% хлопок)";Полиэстр;;"ПСТ-01/220-19552/1 Покрывало ""Традиция"" 220х210";5;1163;http://alvitek.com.ru/upload/iblock/fe9/fe9807399f4724e4b70cba66c42e1b04.jpeg;
;Покрывало;Традиция;;"AlViTek (АльВиТек)";Россия;;ПСТ-02/220-19605/1;220х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;;;;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048013809;;"Набивной рисунок";"Перкаль (100% хлопок)";Полиэстр;;"ПСТ-02/220-19605/1 Покрывало ""Традиция"" 220х210";6;1163;http://alvitek.com.ru/upload/iblock/c8e/c8e2d9f0d4dc42693169bdb30377cad0.jpeg;
;Покрывало;Традиция;;"AlViTek (АльВиТек)";Россия;;ПСТ-03/220-19605/2;220х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;;;;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048013816;;"Набивной рисунок";"Перкаль (100% хлопок)";Полиэстр;;"ПСТ-03/220-19605/2 Покрывало ""Традиция"" 220х210";2;1163;http://alvitek.com.ru/upload/iblock/75a/75a2d9020f63cd5644e13f9ca88ff8a2.jpeg;
;Покрывало;Традиция;;"AlViTek (АльВиТек)";Россия;;ПСТ-04/220-19679/1;220х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;;;;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048013823;;"Набивной рисунок";"Перкаль (100% хлопок)";Полиэстр;;"ПСТ-04/220-19679/1 Покрывало ""Традиция"" 220х210";5;1163;http://alvitek.com.ru/upload/iblock/cec/cecdbf863ac8775943a1f7914aab84fa.jpeg;
;Покрывало;Традиция;;"AlViTek (АльВиТек)";Россия;;ПСТ-05/220-19319/5;220х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;;;;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048013830;;"Набивной рисунок";"Перкаль (100% хлопок)";Полиэстр;;"ПСТ-05/220-19319/5 Покрывало ""Традиция"" 220х210";3;1163;http://alvitek.com.ru/upload/iblock/1f4/1f4c44a70d1ca92bc837370738534117.jpeg;
;Покрывало;Традиция;;"AlViTek (АльВиТек)";Россия;;ПСТ-06/220-19327/1;220х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;;;;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048013847;;"Набивной рисунок";"Перкаль (100% хлопок)";Полиэстр;;"ПСТ-06/220-19327/1 Покрывало ""Традиция"" 220х210";5;1163;http://alvitek.com.ru/upload/iblock/25d/25d93ad2537acc32ea825c02dd3363cc.jpeg;
;Покрывало;Традиция;;"AlViTek (АльВиТек)";Россия;;ПСТ-07/220-19267/1;220х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;;;;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048013854;;"Набивной рисунок";"Перкаль (100% хлопок)";Полиэстр;;"ПСТ-07/220-19267/1 Покрывало ""Традиция"" 220х210";4;1163;http://alvitek.com.ru/upload/iblock/aa4/aa4c8a5c31149ce94df30a4b9a427104.jpeg;
;Покрывало;Традиция;;"AlViTek (АльВиТек)";Россия;;ПСТ-08/220-19198/5;220х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;;;;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048013861;;"Набивной рисунок";"Перкаль (100% хлопок)";Полиэстр;;"ПСТ-08/220-19198/5 Покрывало ""Традиция"" 220х210";5;1163;http://alvitek.com.ru/upload/iblock/a44/a441d738b1731dbbc4c3b641550964c5.jpeg;
;Покрывало;Традиция;;"AlViTek (АльВиТек)";Россия;;ПСТ-09/220-19738/2;220х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;;;;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048013878;;"Набивной рисунок";"Перкаль (100% хлопок)";Полиэстр;;"ПСТ-09/220-19738/2 Покрывало ""Традиция"" 220х210";4;1163;http://alvitek.com.ru/upload/iblock/35b/35bea893b196db44154a450bc645e448.jpeg;
;Покрывало;Традиция;;"AlViTek (АльВиТек)";Россия;;ПСТ-10/220-19735/1;220х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;;;;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048013885;;"Набивной рисунок";"Перкаль (100% хлопок)";Полиэстр;;"ПСТ-10/220-19735/1 Покрывало ""Традиция"" 220х210";5;1163;http://alvitek.com.ru/upload/iblock/21e/21e4f79833c9763f0021b4034c233221.jpeg;
;Покрывало;Традиция;;"AlViTek (АльВиТек)";Россия;;ПСТ-11/220-19483/1;220х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;;;;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048013892;;"Набивной рисунок";"Перкаль (100% хлопок)";Полиэстр;;"ПСТ-11/220-19483/1 Покрывало ""Традиция"" 220х210";5;1163;http://alvitek.com.ru/upload/iblock/360/3605312570f157763e40f7412c15a82a.jpeg;
;Покрывало;Традиция;;"AlViTek (АльВиТек)";Россия;;ПСТ-12/220-19494/2;220х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;;;;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048013908;;"Набивной рисунок";"Перкаль (100% хлопок)";Полиэстр;;"ПСТ-12/220-19494/2 Покрывало ""Традиция"" 220х210";9;1163;http://alvitek.com.ru/upload/iblock/ff6/ff61b2483ac1be2f1d24351f322d207e.jpeg;
;Покрывало;Традиция;;"AlViTek (АльВиТек)";Россия;;ПСТ-01/240-19552/1;240х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;;;;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048013915;;"Набивной рисунок";"Перкаль (100% хлопок)";Полиэстр;;"ПСТ-01/240-19552/1 Покрывало ""Традиция"" 240х210";5;1252;http://alvitek.com.ru/upload/iblock/f02/f0291b21d0d0c762bd5f53b7abcd2ce6.jpeg;
;Покрывало;Традиция;;"AlViTek (АльВиТек)";Россия;;ПСТ-02/240-19605/1;240х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;;;;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048013922;;"Набивной рисунок";"Перкаль (100% хлопок)";Полиэстр;;"ПСТ-02/240-19605/1 Покрывало ""Традиция"" 240х210";6;1252;http://alvitek.com.ru/upload/iblock/5e7/5e76d952621705cdf680b56a0ae10079.jpeg;
;Покрывало;Традиция;;"AlViTek (АльВиТек)";Россия;;ПСТ-03/240-19605/2;240х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;;;;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048013939;;"Набивной рисунок";"Перкаль (100% хлопок)";Полиэстр;;"ПСТ-03/240-19605/2 Покрывало ""Традиция"" 240х210";6;1252;http://alvitek.com.ru/upload/iblock/afe/afe61af914110d7aaedf2950d7a44a1c.jpeg;
;Покрывало;Традиция;;"AlViTek (АльВиТек)";Россия;;ПСТ-04/240-19679/1;240х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;;;;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048013946;;"Набивной рисунок";"Перкаль (100% хлопок)";Полиэстр;;"ПСТ-04/240-19679/1 Покрывало ""Традиция"" 240х210";7;1252;http://alvitek.com.ru/upload/iblock/320/320ead8d717b4809d75fa02a5e62d12a.jpeg;
;Одеяло;Сахара;;"AlViTek (АльВиТек)";Россия;Люкс;ОВШ-О-15;140х205;Легкое;;;;;;;"Верблюжья шерсть,пэ";;;"200 гр/кв.м";;;Тик;"100% хлопок";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048003121;;Кремовый;;;;"ОВШ-О-15  Одеяло ""САХАРА"" 140х205 легкое";18;1514;http://alvitek.com.ru/upload/iblock/57a/57aafb275d9c162c85e1267567bfd4ae.jpeg;"одеяло с наполнителем из верблюжьей шерсти 200 г/кв.м, чехол (100% хлопок) - ткань тик пуходержащий, окантовка-косая бейка, уголок, бирка, флажок, постер, в чемодане"
;Одеяло;Карбон;;"AlViTek (АльВиТек)";Россия;Традиция;ОК-Д-О-10;140х105;Легкое;;;;;;;"Искусственный ""Лебяжий пух""";;;"200 гр/кв.м";;;Микрофибра;"100%  пэ";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048015803;;;;;;"ОК-Д-О-10 Одеяло ""Карбон"" 105х140 легкое";6;536;http://alvitek.com.ru/upload/iblock/9fd/9fd52b8ae5936c7dd543207c795da363.jpeg;"одеяло с наполнителем из микроволокна ""Лебяжий пух""  200 г/кв.м, чехол - микрофибра, кант атласный, бирка, постер, в чемодане"
;Одеяло;Антикризис;;"AlViTek (АльВиТек)";Россия;Комфорт;ПЭ-15;140х205;Легкое;;;;;;;"Полиэфирное волокно";;;"200 гр/кв.м";;;Полисатин;"100%  пэ";;;;;"Одноигольная машина";;Пакет;;;;;4607048000489;;"Набивной рисунок,может отличаться от цвета на фото";;;;"ПЭ-15 Одеяло 140х205";104;360;http://alvitek.com.ru/upload/iblock/f64/f64720ba62f7d18c40dd0e7bd42f7845.jpeg;"одеяло: наполнитель - полиэфирное волокно 200 г/кв.м, чехол - ткань ПЭ, бирка, в пакете без ручки!!!"
;"Комплект постельного белья";;;Экзотика;Россия;;Э-Б5-22-507;Евро;;;"70х70 (2шт.)";205х220;220х240;Обычная;;;;;;;;Поплин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000925506128;;;;;;"507  КПБ евро (5) ""Экзотика"" Поплин";4;1169;http://alvitek.com.ru/upload/iblock/218/218b4c9a18293ba684d280ef29613bdf.jpeg;"Комплект постельного белья ""Экзотика"", 100 % хлопок - БЯЗЬ импортная"
;"Простыня на резинке";;;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-ПО-Р-090-ЛАВ;090х200+25;;;;;;"На резинке";;;;;;;;Поплин;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;;4607048017210;;Лавандовый;;;;"ПР-ПО-Р-090-ЛАВ Лавандовый простыня Поплин однотонная на резинке 90х200х25";10;381;http://alvitek.com.ru/upload/iblock/01d/01d0f97eebf7a1fc0bfb1212592afae3.jpeg;"Простыня на резинке. Ткань-100% хлопок, резинка по периметру, высота борта 25см, бирка, упаковка оригинальная"
;"Простыня на резинке";;;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-ПО-Р-140-ЛАВ;140х200+25;;;;;;"На резинке";;;;;;;;Поплин;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;;4607048017227;;Лавандовый;;;;"ПР-ПО-Р-140-ЛАВ Лавандовый простыня Поплин однотонная на резинке 140х200х25";7;524;http://alvitek.com.ru/upload/iblock/397/397f9828816619423a29978ed8856bab.jpeg;"Простыня на резинке. Ткань-100% хлопок, резинка по периметру, высота борта 25см, бирка, упаковка оригинальная"
;"Простыня на резинке";;;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-ПО-Р-160-ЛАВ;160х200+25;;;;;;"На резинке";;;;;;;;Поплин;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;;4607048017234;;Лавандовый;;;;"ПР-ПО-Р-160-ЛАВ Лавандовый простыня Поплин однотонная на резинке 160х200х25";7;542;http://alvitek.com.ru/upload/iblock/8c4/8c449bddd984ece681902903f0ce72d7.jpeg;"Простыня на резинке. Ткань-100% хлопок, резинка по периметру, высота борта 25см, бирка, упаковка оригинальная"
;"Простыня на резинке";;;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-ПО-Р-180-ЛАВ;180х200+25;;;;;;"На резинке";;;;;;;;Поплин;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;;4607048017241;;Лавандовый;;;;"ПР-ПО-Р-180(180)-ЛАВ Лавндовый простыня Поплин однотонная на резинке 180х200х25";7;602;http://alvitek.com.ru/upload/iblock/3ef/3ef9ad84b2f01d8bb45c39817e31ce59.jpeg;"Простыня на резинке. Ткань-100% хлопок, резинка по периметру, высота борта 25см, бирка, упаковка оригинальная"
;"Простыня на резинке";;;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-ПО-Р-200-ЛАВ;200х200+25;;;;;;"На резинке";;;;;;;;Поплин;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;;4607048017258;;Лавандовый;;;;"ПР-ПО-Р-200-ЛАВ Лавандовый простыня Поплин однотонная на резинке 200х200х25";4;641;http://alvitek.com.ru/upload/iblock/227/2275a1151e48534c7c88617ade2376d9.jpeg;"Простыня на резинке. Ткань-100% хлопок, резинка по периметру, высота борта 25см, бирка, упаковка оригинальная"
;"Комплект постельного белья";;;"AlViTek (АльВиТек)";;;АльВиТек-CJA-4-013;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х240;Обычная;;;;;;;;"Сатин жаккард";;;;Молния;;;;Коробка;;;;;2000925561295;;;"Жаккард А ( 50% хлопок+50% вискоза )";"Сатин В ( 100 % хлопок )";;"CJA-4-013 КПБ 2 СП Сатин Жаккард нав-ки ( 70х70х2 шт+50х70х2шт ) в коробке АльВиТек";8;2679;http://alvitek.com.ru/upload/iblock/fd9/fd9c4d5c52aa258d0054fecbc6b531da.jpeg;
;"Комплект постельного белья";;;"AlViTek (АльВиТек)";;;АльВиТек-CJA-4-014;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х240;Обычная;;;;;;;;"Сатин жаккард";;;;Молния;;;;Коробка;;;;;2000925561301;;;"Жаккард А ( 50% хлопок+50% вискоза )";"Сатин В ( 100 % хлопок )";;"CJA-4-014 КПБ 2 СП Сатин Жаккард нав-ки ( 70х70х2 шт+50х70х2шт ) в коробке АльВиТек";9;2679;http://alvitek.com.ru/upload/iblock/674/674b36ba8c03213590146ec8ab5f6dda.jpeg;
;"Комплект постельного белья";;;"AlViTek (АльВиТек)";;;АльВиТек-CJA-4-015;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х240;Обычная;;;;;;;;"Сатин жаккард";;;;Молния;;;;Коробка;;;;;2000925561318;;;"Жаккард А ( 50% хлопок+50% вискоза )";"Сатин В ( 100 % хлопок )";;"CJA-4-015 КПБ 2 СП Сатин Жаккард нав-ки ( 70х70х2 шт+50х70х2шт ) в коробке АльВиТек";8;2679;http://alvitek.com.ru/upload/iblock/459/459606f64f1f54d7e3d2bfcaa05af2da.jpeg;
;"Комплект постельного белья";;;"AlViTek (АльВиТек)";;;АльВиТек-CJA-4-016;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х240;Обычная;;;;;;;;"Сатин жаккард";;;;Молния;;;;Коробка;;;;;2000925561325;;;"Жаккард А ( 50% хлопок+50% вискоза )";"Сатин В ( 100 % хлопок )";;"CJA-4-016 КПБ 2 СП Сатин Жаккард нав-ки ( 70х70х2 шт+50х70х2шт ) в коробке АльВиТек";9;2679;http://alvitek.com.ru/upload/iblock/856/856ca60549b6d9734c0900ad08f5b3e5.jpeg;
;"Комплект постельного белья";;;"AlViTek (АльВиТек)";;;АльВиТек-CJA-6-001;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;220х240;Обычная;;;;;;;;"Сатин жаккард";;;;Молния;;;;Коробка;;;;;2000925561332;;;"Жаккард А ( 50% хлопок+50% вискоза )";"Сатин В ( 100 % хлопок )";;"CJA-6-001 КПБ Евро Сатин Жаккард нав-ки ( 70х70х2 шт+50х70х2шт ) в коробке АльВиТек";7;2721;http://alvitek.com.ru/upload/iblock/68d/68db07f6d8a1ff734d4670b6abb194d7.jpeg;
;"Комплект постельного белья";;;"AlViTek (АльВиТек)";;;АльВиТек-CJA-6-002;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;220х240;Обычная;;;;;;;;"Сатин жаккард";;;;Молния;;;;Коробка;;;;;2000925561349;;;"Жаккард А ( 50% хлопок+50% вискоза )";"Сатин В ( 100 % хлопок )";;"CJA-6-002 КПБ Евро Сатин Жаккард нав-ки ( 70х70х2 шт+50х70х2шт ) в коробке АльВиТек";5;2721;http://alvitek.com.ru/upload/iblock/728/728f340f6819f31d0405741ab12980f6.jpeg;
;"Комплект постельного белья";;;"AlViTek (АльВиТек)";;;АльВиТек-CJA-6-003;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;220х240;Обычная;;;;;;;;"Сатин жаккард";;;;Молния;;;;Коробка;;;;;2000925561356;;;"Жаккард А ( 50% хлопок+50% вискоза )";"Сатин В ( 100 % хлопок )";;"CJA-6-003 КПБ Евро Сатин Жаккард нав-ки ( 70х70х2 шт+50х70х2шт ) в коробке АльВиТек";5;2721;http://alvitek.com.ru/upload/iblock/10b/10b5d3a1ef156d9e1a6310b7514d7b11.jpeg;
;"Комплект постельного белья";;;"AlViTek (АльВиТек)";;;АльВиТек-CJA-6-004;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;220х240;Обычная;;;;;;;;"Сатин жаккард";;;;Молния;;;;Коробка;;;;;2000925561363;;;"Жаккард А ( 50% хлопок+50% вискоза )";"Сатин В ( 100 % хлопок )";;"CJA-6-004 КПБ Евро Сатин Жаккард нав-ки ( 70х70х2 шт+50х70х2шт ) в коробке АльВиТек";6;2721;http://alvitek.com.ru/upload/iblock/7a7/7a7bf2db0ca866b0b01469f3fbb4533c.jpeg;
;"Комплект постельного белья";;;"AlViTek (АльВиТек)";;;АльВиТек-CJA-6-005;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;220х240;Обычная;;;;;;;;"Сатин жаккард";;;;Молния;;;;Коробка;;;;;2000925561370;;;"Жаккард А ( 50% хлопок+50% вискоза )";"Сатин В ( 100 % хлопок )";;"CJA-6-005 КПБ Евро Сатин Жаккард нав-ки ( 70х70х2 шт+50х70х2шт ) в коробке АльВиТек";9;2721;http://alvitek.com.ru/upload/iblock/861/861d0c5759571da069297125a8ced5f2.jpeg;
;"Комплект постельного белья";;;"AlViTek (АльВиТек)";;;АльВиТек-CJA-6-006;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;220х240;Обычная;;;;;;;;"Сатин жаккард";;;;Молния;;;;Коробка;;;;;2000925561387;;;"Жаккард А ( 50% хлопок+50% вискоза )";"Сатин В ( 100 % хлопок )";;"CJA-6-006 КПБ Евро Сатин Жаккард нав-ки ( 70х70х2 шт+50х70х2шт ) в коробке АльВиТек";6;2721;http://alvitek.com.ru/upload/iblock/c71/c714f4d6ed89f0f86d07accac8698d2f.jpeg;
