Размер;"Категория товара";Коллекция;"Вес изделия в упаковке";Бренд;"Страна производства";Линейка;Артикул;Размер;"Степень теплоты";"Степень поддержки";"Размер наволочек";"Размер пододеяльника";"Размер простыни";"Тип простыни";Высота;Наполнитель;"Наполнитель чехла";"Наполнитель ядра";"Вес наполнителя";"Вес наполнителя чехла";"Вес наполнителя ядра";Ткань;"Состав ткани";"Тип застежки";"Тип застежки наволочки";"Тип застежки пододеяльника";"Тип крепления";"Тип стежки";Окантовка;Упаковка;"Тип упаковки";"Количество в упаковке";Материал;Плотность;ШтрихКод;Производитель;Цвет;"Ткань верха";"Ткань низ";Состав;Номенклатура;Количество;Цена;Фото;Описание
;"Комплект постельного белья";;;СайлиД;Китай;;Сайлид-L-1,5-5;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514673;;;;;;"L-5 КПБ 1,5сп сатин Однотонный ""САЙЛИД""";1;1854;http://alvitek.com.ru/upload/iblock/df9/df9bbc27a2660dda417c7181e3853ece.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;Сайлид-L-1,5-6;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514680;;;;;;"L-6 КПБ 1,5сп сатин Однотонный ""САЙЛИД""";1;1854;http://alvitek.com.ru/upload/iblock/bbb/bbb5202ab2d2471c012bf1457b926f2c.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;Сайлид-L-1,5-7;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514697;;;;;;"L-7 КПБ 1,5сп сатин Однотонный ""САЙЛИД""";2;1854;http://alvitek.com.ru/upload/iblock/c70/c70f4ba9c0aa581128af0aadab5ba0b8.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;Сайлид-L-1,5-8;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514703;;;;;;"L-8 КПБ 1,5сп сатин Однотонный ""САЙЛИД""";1;1854;http://alvitek.com.ru/upload/iblock/9b4/9b41a2ef2ea561b16210baeb83c06277.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;Сайлид-L-1,5-9;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514710;;;;;;"L-9 КПБ 1,5сп сатин Однотонный ""САЙЛИД""";3;1854;http://alvitek.com.ru/upload/iblock/9e7/9e71e1380d0a1f1c5294534404eb6123.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;Сайлид-L-1,5-11;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514611;;;;;;"L- 11 КПБ 1,5сп сатин Однотонный ""САЙЛИД""";3;1854;http://alvitek.com.ru/upload/iblock/065/06561f2cbe7a4dade8d8039e328b65db.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;Сайлид-L-2-2;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514765;;;;;;"L-2 КПБ 2сп сатин Однотонный ""САЙЛИД""";1;2415;http://alvitek.com.ru/upload/iblock/5cc/5cc943c2fca201962f38fce24c3cbef4.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;Сайлид-L-2-3;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514772;;;;;;"L-3 КПБ 2сп сатин Однотонный ""САЙЛИД""";2;2415;http://alvitek.com.ru/upload/iblock/86d/86d5b4518ee4cdf8abd48c1971124b34.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;Сайлид-L-2-5;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514802;;;;;;"L-5 КПБ 2сп сатин Однотонный ""САЙЛИД""";1;2415;http://alvitek.com.ru/upload/iblock/c01/c01e93780bbca3b03ec0f364ea3d67e2.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;Сайлид-L-2-6;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514796;;;;;;"L-6 КПБ 2сп сатин Однотонный ""САЙЛИД""";3;2415;http://alvitek.com.ru/upload/iblock/ceb/cebd9681abf92c1098f470f604570184.jpeg;
